El. nr.,"EffektW","Lengdem","ResistansminΩ","ResistansmaksΩ","Drifts-strøm (I)A","Vektkg"
10 367 32,130,13,387,448,"0,6","1,0"
10 367 33,220,22,228,265,"1,0","1,3"
10 367 34,300,30,168,194,"1,3","1,7"
10 367 35,430,43,117,135,"1,9","2,2"
10 367 36,520,52,97,112,"2,3","2,6"
10 367 37,630,63,80,93,"2,7","3,1"
10 367 38,700,70,72,83,"3,0","3,4"
10 367 39,800,80,63,73,"3,5","3,8"
10 367 42,910,91,55,64,"4,0","4,3"
10 367 43,1000,100,50,58,"4,3","4,7"
10 367 44,1170,117,43,50,"5,1","5,4"
10 367 55,1300,130,39,45,"5,7","6,0"
10 367 45,1420,142,35,41,"6,2","6,5"
10 367 56,1600,160,31,37,"7,0","7,2"
10 367 46,1820,182,28,32,"7,9","8,1"
