El.nr.,"EffektW","Lengdem","ResistansminΩ","ResistansmaksΩ","Driftsstrøm(I)A","Vektkg",
10 630 00,1050,35,47,56,"4,6","2,9",
10 630 01,1500,50,33,39,"6,5","3,7",
10 630 02,1800,60,27,33,"7,8","4,1",
10 630 03,2100,70,23,28,"9,1","5,2",
10 630 04,2400,80,20,25,"10,4","5,7",
10 630 05,2700,90,18,22,"11,7","6,0",
10 630 06,3000,100,16,20,"13,0","6,5",
10 630 07,3600,120,14,17,"15,7","7,5",
10 630 08,4500,150,11,13,"19,6","10,7",
10 630 09,5100,170,9,12,"22,2","12,0",
10 630 10,6000,200,8,10,"26,1","13,8",
