El.nr.,"EffektW","Breddem","Lengdem","Arealm2","ResistansminΩ","ResistansmaksΩ","Drifts-strøm (I)A","Vektkg"
10 374 30,1050,"0,5",7,"3,5",47,56,"4,6","5,5"
10 374 31,1500,"0,5",10,5,33,39,"6,5","7,1"
10 374 32,1800,"0,5",12,6,27,33,"7,8","8,2"
10 374 33,2100,"0,5",14,7,23,28,"9,1","9,3"
10 374 34,2400,"0,5",16,8,20,25,"10,4","10,6"
10 374 35,2700,"0,5",18,9,18,22,"11,7","11,7"
10 374 36,3000,"0,5",20,10,16,20,"13,0","12,8"
10 374 37,3600,"0,5",24,12,14,17,"15,7","15,0"
10 374 45,3000,"1,0",10,10,16,20,"13,0","12,9"
10 374 46,3600,"1,0",12,12,14,17,"15,7","15,1"
10 374 47,4500,"1,0",15,15,11,13,"19,6","19,5"
10 374 48,5100,"1,0",17,17,9,12,"22,2","22,1"
10 374 49,6000,"1,0",20,20,8,10,"26,1","25,4"
